,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
57652,11.716666666666669,11.716666666666669,0.9,3.1878,153.0,15.826300000000002,1012.76
21247,19.77777777777777,19.77777777777777,0.78,3.059,179.0,9.982,1017.16
73098,3.905555555555556,3.905555555555556,0.92,4.652900000000001,152.0,0.2898,1019.78
60811,20.700000000000003,20.700000000000003,0.56,10.8675,320.0,9.982,1009.11
36514,22.56666666666667,22.56666666666667,0.73,7.647500000000001,318.0,11.27,1018.55
30539,30.97222222222222,30.666666666666668,0.38,10.7387,319.0,10.3684,1018.05
73755,3.911111111111111,3.911111111111111,1.0,0.0,0.0,2.9302,1025.58
92165,17.144444444444446,17.144444444444446,0.99,7.0518,334.0,6.5205,1003.34
68991,21.17777777777778,21.17777777777778,0.42,14.2324,182.0,16.1,1021.94
29478,-5.0,-8.61111111111111,0.81,8.05,280.0,8.05,1026.3
54102,-9.666666666666666,-14.055555555555555,0.91,7.953400000000001,159.0,7.212800000000001,1012.73
23303,3.238888888888888,-0.7944444444444443,0.64,17.549000000000003,18.0,15.6009,1023.64
78506,15.711111111111112,15.711111111111112,0.99,9.8854,191.0,1.1431,1013.94
36580,0.5055555555555536,-6.538888888888888,0.82,38.0121,279.0,15.1823,1016.42
88045,22.77777777777778,22.77777777777778,0.27,10.9158,200.0,16.1,1003.6
33018,7.272222222222224,6.661111111111112,0.87,5.055400000000001,182.0,9.6117,1022.7
89903,8.838888888888887,5.055555555555556,0.77,30.300200000000004,150.0,9.982,1001.0
67369,12.333333333333336,12.333333333333336,0.95,2.9463000000000004,296.0,11.6886,1012.35
81479,6.600000000000001,3.877777777777776,0.9,14.0553,111.0,3.912300000000001,1007.89
57988,5.4,3.888888888888889,0.86,7.0196000000000005,207.0,11.753,1020.96
27493,32.22222222222222,31.072222222222223,0.3,16.1,150.0,9.982,1017.4
58779,13.88888888888889,13.88888888888889,0.9,6.44,140.0,16.1,1010.8
36366,8.77222222222222,8.77222222222222,0.94,2.9785000000000004,168.0,8.1305,1012.98
77983,13.955555555555556,13.955555555555556,0.9,10.4006,178.0,9.7083,1026.58
35557,21.11111111111111,21.11111111111111,0.41,12.3326,150.0,9.982,1024.43
31295,9.233333333333333,8.522222222222224,0.93,6.295100000000001,276.0,11.753,1014.75
49419,7.544444444444443,5.599999999999999,0.87,10.5938,170.0,7.212800000000001,1013.1
39818,15.405555555555551,15.405555555555551,0.83,7.3416,316.0,15.3111,1013.85
53355,16.544444444444444,16.544444444444444,0.55,11.27,330.0,15.826300000000002,1019.48
67565,12.755555555555556,12.755555555555556,1.0,7.985600000000001,170.0,11.27,1009.17
77597,17.03888888888889,17.03888888888889,0.88,4.8944,197.0,9.6439,1009.81
37596,6.044444444444446,2.294444444444446,0.8,20.9622,301.0,11.27,994.7
55604,1.1111111111111112,-2.272222222222222,0.92,11.27,190.0,9.982,1023.0
68294,11.966666666666663,11.966666666666663,0.81,12.719,117.0,7.824600000000001,1001.62
20156,8.933333333333332,6.7444444444444445,0.54,13.9909,169.0,9.982,1026.79
22207,15.144444444444442,15.144444444444442,0.77,8.162700000000001,12.0,9.982,1015.93
49676,-3.283333333333333,-3.283333333333333,0.85,3.3005,166.0,15.826300000000002,1024.96
24606,-0.1888888888888888,-2.1000000000000005,0.84,5.699400000000001,247.0,9.6278,1028.09
64870,3.150000000000001,0.2444444444444432,0.84,10.996300000000002,193.0,14.9569,1013.66
89240,3.0333333333333337,-0.4444444444444448,0.85,13.7333,182.0,8.1466,1020.27
84535,7.799999999999999,2.738888888888889,0.49,45.530800000000006,309.0,9.982,1022.16
47372,-7.683333333333333,-7.683333333333333,1.0,4.4275,161.0,2.0769,1025.3
78608,13.094444444444443,13.094444444444443,0.77,5.1359,145.0,10.577700000000002,1017.29
51677,7.266666666666666,7.266666666666666,0.86,3.22,350.0,10.0464,1024.19
42914,9.9,8.466666666666669,0.83,10.3684,50.0,15.826300000000002,1022.68
15993,4.855555555555557,2.4555555555555566,0.77,10.2235,186.0,11.0285,1024.8
35881,16.16111111111111,16.16111111111111,0.97,3.22,20.0,14.9086,1016.78
38367,-3.866666666666667,-8.122222222222224,0.78,10.722600000000002,51.0,6.166300000000001,1032.27
65823,23.75555555555556,23.75555555555556,0.51,12.88,280.0,11.27,1009.35
82986,17.82777777777778,17.82777777777778,0.83,0.1449,230.0,16.1,1011.99
45845,0.9500000000000004,0.9500000000000004,0.93,1.6422,117.0,0.161,1021.08
22233,25.97222222222222,25.97222222222222,0.51,4.8139,309.0,9.982,1017.68
51501,6.716666666666669,5.58888888888889,0.93,6.4078,51.0,4.347,1026.3
56640,22.61666666666666,22.61666666666666,0.58,20.3343,30.0,15.826300000000002,1020.28
43366,15.394444444444446,15.394444444444446,0.93,6.0536,301.0,9.8049,1016.92
13995,2.872222222222223,2.872222222222223,0.96,3.0268,1.0,9.982,1026.67
7788,22.10555555555556,22.10555555555556,0.5,26.468400000000003,327.0,11.27,1024.07
4905,12.17777777777778,12.17777777777778,0.81,2.5277000000000003,323.0,11.125100000000002,1014.44
74474,20.09444444444445,20.09444444444445,0.83,9.7727,137.0,15.1823,1011.95
81380,-2.3888888888888893,-2.3888888888888893,0.93,3.22,170.0,2.9624,1029.89
4827,21.6,21.6,0.87,5.892600000000001,129.0,15.7297,1017.02
53112,17.77777777777778,17.77777777777778,0.58,11.27,140.0,16.1,1021.7
25153,5.677777777777777,5.677777777777777,0.93,3.059,35.0,9.7566,1023.57
40744,18.922222222222224,18.922222222222224,0.33,15.1984,169.0,10.3523,1006.61
9991,19.3,19.3,0.78,7.8729,268.0,10.4167,1016.3
79845,19.95555555555556,19.95555555555556,0.94,3.2683,174.0,9.7083,1007.69
8976,3.9611111111111126,3.9611111111111126,0.78,3.0429,356.0,15.826300000000002,1022.47
63876,7.750000000000002,3.788888888888889,0.83,28.3199,160.0,9.9015,0.0
69713,22.13888888888889,22.13888888888889,0.33,13.8299,273.0,15.552600000000002,1021.38
21335,17.75,17.75,0.9,11.109000000000002,306.0,14.168000000000005,1015.08
73441,-2.066666666666666,-7.733333333333334,0.93,19.4005,10.0,1.8354,1009.16
32069,7.777777777777778,5.4944444444444445,0.89,12.88,150.0,11.27,989.4
89852,0.9833333333333352,-2.0111111111111115,0.93,9.5634,177.0,9.1126,1019.99
63882,8.705555555555556,6.166666666666668,0.89,16.325400000000002,311.0,6.118,992.44
67258,22.85,22.85,0.41,26.726000000000003,150.0,10.3523,1014.63
39718,17.733333333333334,17.733333333333334,0.96,6.6493,321.0,15.826300000000002,1002.61
85280,17.727777777777774,17.727777777777774,0.6,5.1359,159.0,10.2557,1015.08
48905,27.800000000000004,27.922222222222224,0.46,15.3433,240.0,10.4006,1005.65
18392,25.438888888888894,25.438888888888894,0.58,6.8908000000000005,138.0,10.3523,1014.4
76710,20.0,20.0,0.47,5.9731000000000005,16.0,16.1,1017.52
7006,8.244444444444447,5.1944444444444455,0.86,19.8352,150.0,14.731500000000002,1022.96
14249,7.811111111111113,4.661111111111111,1.0,19.7386,301.0,6.118,992.56
74676,25.95,25.95,0.27,10.948,10.0,16.1,1014.16
52328,13.566666666666668,13.566666666666668,0.68,7.5187,39.0,9.6278,1024.9
63626,-1.183333333333333,-4.916666666666668,0.96,10.8031,341.0,5.0393,1012.18
29961,23.88888888888889,23.88888888888889,0.66,9.66,120.0,11.27,1017.5
56882,20.41111111111111,20.41111111111111,0.75,3.976700000000001,330.0,9.982,1011.04
22948,-0.8388888888888898,-3.2722222222222226,0.86,6.7620000000000005,318.0,14.168000000000005,1013.42
26789,6.422222222222223,3.2444444444444462,0.73,17.0177,140.0,15.150100000000002,1021.23
30271,18.88888888888889,18.88888888888889,0.73,8.05,170.0,9.982,1020.7
75572,10.261111111111113,10.261111111111113,0.6,6.423900000000001,180.0,16.1,1016.56
46163,0.0722222222222236,-3.099999999999999,0.69,9.5634,101.0,9.982,1021.38
49081,9.933333333333334,8.661111111111113,0.92,9.4346,121.0,11.6886,1019.61
43127,5.094444444444445,2.8888888888888906,0.86,9.5634,327.0,8.420300000000001,1019.57
51613,14.066666666666666,14.066666666666666,0.47,24.0695,148.0,11.3988,1024.85
45525,2.7777777777777777,-1.8333333333333337,0.79,20.8817,271.0,15.826300000000002,1001.8
3958,24.30555555555556,24.30555555555556,0.74,3.1234,193.0,15.826300000000002,1018.88
70010,12.855555555555556,12.855555555555556,0.87,10.4811,294.0,15.1823,1024.6
91714,32.03333333333333,31.48333333333333,0.35,11.0285,79.0,16.1,1015.74
