,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
79473,17.127777777777776,17.127777777777776,0.37,4.8622000000000005,52.0,16.1,1018.59
51278,11.25,11.25,0.54,16.9211,21.0,11.27,1028.7
47180,-2.155555555555555,-2.155555555555555,0.96,3.1234,156.0,4.83,1013.28
86090,-2.244444444444444,-2.244444444444444,1.0,0.0,0.0,0.0,1021.93
22898,-1.1722222222222218,-5.127777777777778,0.88,11.6886,269.0,8.1305,1011.75
1016,23.772222222222226,23.772222222222226,0.75,0.966,150.0,9.982,1016.74
28230,7.222222222222222,3.788888888888889,0.65,20.93,280.0,9.982,1011.4
63734,7.07222222222222,7.07222222222222,0.8,4.186000000000001,157.0,10.948,0.0
28782,-6.111111111111111,-13.094444444444443,0.81,20.93,0.0,7.084000000000001,1018.6
14843,14.233333333333333,14.233333333333333,0.51,23.6026,8.0,11.27,1012.22
27010,17.77777777777778,17.77777777777778,0.43,12.88,170.0,9.982,1017.4
35699,13.861111111111112,13.861111111111112,0.65,13.6045,139.0,10.3523,1013.69
72493,8.0,4.422222222222223,0.69,24.5686,329.0,10.3523,1010.96
59114,14.444444444444445,14.444444444444445,0.57,14.49,240.0,16.1,1010.7
44262,12.505555555555553,12.505555555555553,0.56,12.2038,150.0,9.982,1017.55
10188,28.88888888888889,28.488888888888887,0.4,9.160900000000002,0.0,11.2056,1009.35
5322,3.9833333333333343,3.9833333333333343,0.81,1.6905,319.0,11.0446,1018.91
50627,5.050000000000002,5.050000000000002,0.65,1.2075,90.0,7.1323,1029.07
38312,-8.63888888888889,-13.316666666666666,0.85,9.160900000000002,31.0,9.9015,1026.67
37734,3.85,0.5055555555555536,1.0,14.0392,140.0,0.161,1007.3
65734,22.77777777777778,22.77777777777778,0.77,6.0375000000000005,296.0,14.9086,1022.34
71849,5.1,2.8888888888888906,0.86,9.5634,211.0,7.084000000000001,0.0
11673,2.76111111111111,-1.1000000000000003,0.89,15.633100000000002,170.0,5.9731000000000005,1027.6
7166,2.755555555555556,-1.3722222222222216,0.48,17.3397,297.0,11.27,1027.06
49787,19.07777777777778,19.07777777777778,0.77,8.5974,275.0,11.27,1018.28
46553,-1.0166666666666655,-3.7944444444444434,0.81,7.647500000000001,140.0,9.9015,1027.56
84733,10.02222222222222,10.02222222222222,0.46,7.583100000000001,320.0,16.1,1028.3
75449,9.02777777777778,7.588888888888887,0.7,9.4507,319.0,16.1,1016.71
75611,21.06111111111111,21.06111111111111,0.32,24.906700000000004,180.0,16.1,1005.13
57851,10.0,8.205555555555557,0.58,12.88,340.0,11.27,1024.8
20283,3.311111111111112,0.4166666666666667,0.82,11.0768,309.0,8.1305,1026.28
39883,18.81666666666667,18.81666666666667,0.68,14.2163,330.0,11.2056,1009.94
17588,15.394444444444446,15.394444444444446,0.63,10.948,164.0,10.3523,1003.03
7365,13.083333333333332,13.083333333333332,0.78,10.432800000000002,137.0,15.826300000000002,1022.0
36130,23.79444444444444,23.79444444444444,0.5,13.5884,31.0,9.982,1026.0
23361,4.911111111111113,1.2666666666666673,0.88,17.71,261.0,3.2361,1009.6
33720,9.444444444444445,5.716666666666666,0.93,32.2,330.0,6.118,1000.8
23270,7.200000000000001,4.772222222222224,0.59,13.0249,330.0,11.2056,1010.91
81796,-9.05,-13.011111111111113,0.85,7.228900000000001,182.0,7.8729,1037.45
76542,13.933333333333332,13.933333333333332,0.71,20.4148,300.0,9.982,1011.38
39908,15.994444444444444,15.994444444444444,0.93,9.2575,305.0,4.4114,1012.92
10288,6.016666666666666,4.005555555555556,0.94,9.4507,236.0,1.2719,1002.48
46114,0.0,-3.4222222222222225,0.99,10.4811,184.0,2.5599000000000003,1018.7
9793,21.43888888888889,21.43888888888889,0.65,11.3344,72.0,15.8746,1009.78
23617,15.38888888888889,15.38888888888889,0.8,9.8371,206.0,14.168000000000005,1006.92
28496,3.888888888888889,1.072222222222222,0.92,11.27,150.0,0.805,1017.4
20552,2.083333333333333,-0.8611111111111115,0.8,10.2074,146.0,9.6922,1021.99
94231,17.327777777777776,17.327777777777776,0.51,5.2003,230.0,10.577700000000002,1017.44
22101,12.933333333333334,12.933333333333334,0.89,4.8461,272.0,9.982,1011.75
59829,8.266666666666667,4.672222222222221,0.9,25.6634,271.0,14.9569,1007.18
33503,3.888888888888889,1.072222222222222,0.89,11.27,120.0,12.075,1004.8
80649,7.799999999999999,5.572222222222223,0.76,12.5741,252.0,9.982,1028.52
65048,22.24444444444445,22.24444444444445,0.79,2.3828,313.0,9.982,1015.02
37074,-7.550000000000001,-7.550000000000001,0.96,0.2093,172.0,5.8765,1028.32
25193,15.011111111111113,15.011111111111113,0.67,3.0751,100.0,9.982,1018.69
83321,22.63888888888889,22.63888888888889,0.65,7.3416,322.0,15.3111,1016.96
20384,6.083333333333335,2.9611111111111104,0.79,15.9712,300.0,9.982,1025.4
83574,17.17777777777778,17.17777777777778,0.67,14.296800000000005,309.0,10.2557,1013.95
80920,7.300000000000001,7.300000000000001,0.87,4.2021,309.0,13.3147,1032.83
65451,15.605555555555558,15.605555555555558,0.93,6.1502,280.0,15.826300000000002,1016.12
39308,20.500000000000004,20.500000000000004,0.83,10.3523,316.0,11.4471,1014.39
60514,5.005555555555555,1.7333333333333318,0.81,15.262800000000002,122.0,9.982,1015.74
81852,2.7999999999999994,-2.016666666666666,0.9,22.5883,319.0,10.2557,1013.54
85757,7.044444444444444,7.044444444444444,0.74,0.0,0.0,3.6064000000000007,1037.13
27313,24.444444444444443,24.444444444444443,0.5,11.27,110.0,16.1,1015.4
17403,12.805555555555554,12.805555555555554,0.74,2.9624,170.0,15.826300000000002,1010.08
22398,18.84444444444445,18.84444444444445,0.9,26.6455,20.0,11.125100000000002,1019.02
22420,17.96666666666667,17.96666666666667,0.93,6.9552000000000005,285.0,11.640300000000002,1019.01
9982,21.50555555555555,21.50555555555555,0.43,3.22,320.0,15.826300000000002,1016.01
30235,25.0,25.0,0.64,9.66,180.0,9.982,1013.6
